2025-05-17 19:51:48,713 [INFO] Central Server listening on 0.0.0.0:6000
2025-05-17 19:52:21,858 [INFO] Drone connected from ('127.0.0.1', 56545)
2025-05-17 19:52:21,859 [INFO] Received aggregate: {'average_temperature': 28.115000000000002, 'average_humidity': 60.44, 'anomalies': [], 'battery_level': 69.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:21.855574+00:00'}
2025-05-17 19:53:09,230 [INFO] Received aggregate: {'average_temperature': 25.192, 'average_humidity': 51.366, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:04.055861+00:00'}
2025-05-17 19:53:09,231 [INFO] Received aggregate: {'average_temperature': 24.465, 'average_humidity': 54.848, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:05.170710+00:00'}
2025-05-17 19:53:09,232 [INFO] Received aggregate: {'average_temperature': 25.166999999999998, 'average_humidity': 55.81700000000001, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:06.069100+00:00'}
2025-05-17 19:53:09,233 [INFO] Received aggregate: {'average_temperature': 24.974, 'average_humidity': 56.473, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:07.182403+00:00'}
2025-05-17 19:53:09,234 [INFO] Received aggregate: {'average_temperature': 24.886, 'average_humidity': 57.00600000000001, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:08.074555+00:00'}
2025-05-17 19:53:09,234 [INFO] Received aggregate: {'average_temperature': 25.634999999999998, 'average_humidity': 61.257000000000005, 'anomalies': [], 'battery_level': 97.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:09.212398+00:00'}
2025-05-17 19:53:10,089 [INFO] Received aggregate: {'average_temperature': 25.206, 'average_humidity': 59.2, 'anomalies': [], 'battery_level': 98.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:10.088717+00:00'}
2025-05-17 19:53:11,204 [INFO] Received aggregate: {'average_temperature': 24.79, 'average_humidity': 61.293000000000006, 'anomalies': [], 'battery_level': 95.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:11.204418+00:00'}
2025-05-17 19:53:12,101 [INFO] Received aggregate: {'average_temperature': 24.582, 'average_humidity': 58.528, 'anomalies': [], 'battery_level': 93.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:12.101219+00:00'}
2025-05-17 19:53:13,210 [INFO] Received aggregate: {'average_temperature': 24.791999999999998, 'average_humidity': 60.309000000000005, 'anomalies': [], 'battery_level': 90.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:13.209255+00:00'}
2025-05-17 19:53:14,116 [INFO] Received aggregate: {'average_temperature': 25.244000000000003, 'average_humidity': 62.314, 'anomalies': [], 'battery_level': 88.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:14.115351+00:00'}
2025-05-17 19:53:15,221 [INFO] Received aggregate: {'average_temperature': 25.288000000000004, 'average_humidity': 60.424, 'anomalies': [], 'battery_level': 85.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:15.220792+00:00'}
2025-05-17 19:53:16,141 [INFO] Received aggregate: {'average_temperature': 25.081, 'average_humidity': 58.912, 'anomalies': [], 'battery_level': 82.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:16.140063+00:00'}
2025-05-17 19:53:17,224 [INFO] Received aggregate: {'average_temperature': 25.855, 'average_humidity': 56.495000000000005, 'anomalies': [], 'battery_level': 80.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:17.224045+00:00'}
2025-05-17 19:53:18,134 [INFO] Received aggregate: {'average_temperature': 25.369999999999997, 'average_humidity': 57.57799999999999, 'anomalies': [], 'battery_level': 77.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:18.134834+00:00'}
2025-05-17 19:53:19,253 [INFO] Received aggregate: {'average_temperature': 24.463999999999995, 'average_humidity': 57.098, 'anomalies': [], 'battery_level': 74.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:19.253217+00:00'}
2025-05-17 19:53:20,140 [INFO] Received aggregate: {'average_temperature': 24.43, 'average_humidity': 57.388999999999996, 'anomalies': [], 'battery_level': 72.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:20.140269+00:00'}
2025-05-17 19:53:21,254 [INFO] Received aggregate: {'average_temperature': 24.512999999999998, 'average_humidity': 55.69199999999999, 'anomalies': [], 'battery_level': 69.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:21.253263+00:00'}
2025-05-17 19:53:22,154 [INFO] Received aggregate: {'average_temperature': 25.111, 'average_humidity': 56.03000000000001, 'anomalies': [], 'battery_level': 67.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:22.153971+00:00'}
2025-05-17 19:53:23,267 [INFO] Received aggregate: {'average_temperature': 25.424, 'average_humidity': 54.211, 'anomalies': [], 'battery_level': 64.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:23.267975+00:00'}
2025-05-17 19:53:24,168 [INFO] Received aggregate: {'average_temperature': 25.378000000000004, 'average_humidity': 51.867, 'anomalies': [], 'battery_level': 62.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:24.167432+00:00'}
2025-05-17 19:53:25,280 [INFO] Received aggregate: {'average_temperature': 25.929000000000002, 'average_humidity': 50.852, 'anomalies': [], 'battery_level': 59.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:25.279786+00:00'}
2025-05-17 19:53:26,174 [INFO] Received aggregate: {'average_temperature': 25.869, 'average_humidity': 53.690999999999995, 'anomalies': [], 'battery_level': 57.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:26.173537+00:00'}
2025-05-17 19:53:27,287 [INFO] Received aggregate: {'average_temperature': 25.465, 'average_humidity': 54.06999999999999, 'anomalies': [], 'battery_level': 56.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:27.287066+00:00'}
2025-05-17 19:53:28,188 [INFO] Received aggregate: {'average_temperature': 25.906, 'average_humidity': 56.86999999999999, 'anomalies': [], 'battery_level': 53.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:28.188093+00:00'}
2025-05-17 19:53:29,288 [INFO] Received aggregate: {'average_temperature': 26.555, 'average_humidity': 54.552, 'anomalies': [], 'battery_level': 51.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:29.287572+00:00'}
2025-05-17 19:53:30,201 [INFO] Received aggregate: {'average_temperature': 27.256999999999998, 'average_humidity': 54.871, 'anomalies': [], 'battery_level': 48.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:30.200136+00:00'}
2025-05-17 19:53:31,308 [INFO] Received aggregate: {'average_temperature': 27.576, 'average_humidity': 55.117, 'anomalies': [], 'battery_level': 45.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:31.307152+00:00'}
2025-05-17 19:53:32,212 [INFO] Received aggregate: {'average_temperature': 27.362000000000002, 'average_humidity': 57.114999999999995, 'anomalies': [], 'battery_level': 43.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:32.212758+00:00'}
2025-05-17 19:53:33,307 [INFO] Received aggregate: {'average_temperature': 27.395, 'average_humidity': 59.455000000000005, 'anomalies': [], 'battery_level': 40.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:33.307364+00:00'}
2025-05-17 19:53:34,219 [INFO] Received aggregate: {'average_temperature': 27.301, 'average_humidity': 58.501999999999995, 'anomalies': [], 'battery_level': 38.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:34.218589+00:00'}
2025-05-17 19:53:35,317 [INFO] Received aggregate: {'average_temperature': 26.633999999999997, 'average_humidity': 60.027, 'anomalies': [], 'battery_level': 35.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:35.316619+00:00'}
2025-05-17 19:53:36,250 [INFO] Received aggregate: {'average_temperature': 26.622000000000003, 'average_humidity': 57.85199999999999, 'anomalies': [], 'battery_level': 32.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:36.250909+00:00'}
2025-05-17 19:53:37,327 [INFO] Received aggregate: {'average_temperature': 26.625999999999998, 'average_humidity': 59.583000000000006, 'anomalies': [], 'battery_level': 30.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:37.327612+00:00'}
2025-05-17 19:53:38,242 [INFO] Received aggregate: {'average_temperature': 26.55, 'average_humidity': 56.975, 'anomalies': [], 'battery_level': 27.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:38.242110+00:00'}
2025-05-17 19:53:39,339 [INFO] Received aggregate: {'average_temperature': 26.826999999999998, 'average_humidity': 58.48199999999999, 'anomalies': [], 'battery_level': 25.0, 'status': 'OK', 'timestamp': '2025-05-17T16:53:39.339399+00:00'}
